turn,mode,novelty,nodes_added_to_graph,edges_added_to_graph,total_nodes_in_graph,total_edges_in_graph,native_node_precision,native_node_recall,native_edge_precision,native_edge_recall,native_degree_weighted_node_coverage,evaluation_node_precision,evaluation_node_recall,evaluation_edge_pair_precision,evaluation_edge_pair_recall,evaluation_node_tsc_rank,evaluation_edge_tsc_rank,evaluation_node_autc_rank
1,seed,0.0,62.0,63.0,62.0,63.0,1.0,0.05263157894736842,1.0,0.02068286277084701,0.217725052337753,1.0,0.05263157894736842,1.0,0.02068286277084701,0.07789925376450453,0.02124389433191937,0.12092311620260184
2,explore,0.8809523809523809,23.0,21.0,85.0,84.0,1.0,0.07215619694397284,1.0,0.02757715036112935,0.24110258199581294,1.0,0.07215619694397284,1.0,0.02757715036112935,0.09797858757380119,0.028323920666833674,0.14411377198227296
3,explore,0.8389830508474576,46.0,53.0,131.0,137.0,1.0,0.11120543293718166,1.0,0.04497701904136572,0.322923935799023,1.0,0.11120543293718166,1.0,0.04497701904136572,0.14584030738148035,0.04522261518396434,0.20711567393748312
4,explore,0.9736842105263158,27.0,19.0,158.0,156.0,1.0,0.13412563667232597,1.0,0.051214707813525925,0.3695045359385904,1.0,0.13412563667232597,1.0,0.05121470781352593,0.1775656844244443,0.05173598912662271,0.24756965167905107
5,exploit,0.8367346938775511,16.0,29.0,174.0,185.0,1.0,0.14770797962648557,1.0,0.06073539067629678,0.39619678995115143,1.0,0.14770797962648557,1.0,0.06073539067629678,0.19802050592337328,0.061916960777520874,0.27300852715486035
6,exploit,0.4700854700854701,28.0,46.0,202.0,231.0,1.0,0.17147707979626486,0.9956709956709957,0.07550886408404466,0.42341242149337055,1.0,0.17147707979626486,0.9956709956709957,0.07550886408404466,0.22200357861245765,0.07771531493694474,0.2992709504776155
7,exploit,0.5131578947368421,11.0,29.0,213.0,260.0,0.9953051643192488,0.17996604414261463,0.9730769230769231,0.08305975049244911,0.45062805303558967,0.9953051643192489,0.1799660441426146,0.9730769230769231,0.08305975049244911,0.23137669932249214,0.0858350942340027,0.314479811508444
8,exploit,0.6136363636363636,7.0,21.0,220.0,281.0,0.9954545454545455,0.1859083191850594,0.9750889679715303,0.08995403808273145,0.453768318213538,0.9954545454545455,0.18590831918505943,0.9750889679715302,0.08995403808273145,0.23681275384300837,0.09282370532976766,0.3191162435171151
9,exploit,0.2619047619047619,6.0,7.0,226.0,288.0,0.995575221238938,0.19100169779286927,0.9756944444444444,0.0922521339461589,0.4590020935101186,0.995575221238938,0.19100169779286927,0.9756944444444444,0.0922521339461589,0.24160151794786644,0.09510603404675859,0.3245881412200104
10,exploit,0.4626865671641791,20.0,12.0,246.0,300.0,0.9186991869918699,0.19185059422750425,0.9766666666666667,0.09619172685489166,0.4605722260990928,0.9186991869918699,0.19185059422750425,0.9766666666666667,0.09619172685489166,0.24318567607039832,0.09924215393227431,0.32675762662191243
