turn,nodes_added_to_graph,nodes_added_to_graph_std,edges_added_to_graph,edges_added_to_graph_std,total_nodes_in_graph,total_nodes_in_graph_std,total_edges_in_graph,total_edges_in_graph_std,native_node_precision,native_node_precision_std,native_node_recall,native_node_recall_std,native_edge_precision,native_edge_precision_std,native_edge_recall,native_edge_recall_std,native_degree_weighted_node_coverage,native_degree_weighted_node_coverage_std,evaluation_node_precision,evaluation_node_precision_std,evaluation_node_recall,evaluation_node_recall_std,evaluation_edge_pair_precision,evaluation_edge_pair_precision_std,evaluation_edge_pair_recall,evaluation_edge_pair_recall_std,evaluation_node_tsc_rank,evaluation_node_tsc_rank_std,evaluation_edge_tsc_rank,evaluation_edge_tsc_rank_std,evaluation_node_autc_rank,evaluation_node_autc_rank_std
1,62.0,0.0,63.0,0.0,62.0,0.0,63.0,0.0,1.0,0.0,0.05263157894736842,0.0,1.0,0.0,0.02068286277084701,0.0,0.217725052337753,0.0,1.0,0.0,0.05263157894736842,0.0,1.0,0.0,0.02068286277084701,0.0,0.07789925376450456,4.8074067159589095e-17,0.02124389433191938,1.059933551797417e-17,0.12092311620260184,0.0
2,35.333333333333336,21.361959960016154,38.333333333333336,24.214320831552005,97.33333333333333,21.361959960016154,101.33333333333333,24.214320831552005,1.0,0.0,0.08262591963780419,0.018134091646872807,1.0,0.0,0.033267673451521124,0.007949547219813531,0.27814608048383344,0.06131299029080017,1.0,0.0,0.08262591963780419,0.018134091646872796,1.0,0.0,0.033267673451521124,0.007949547219813526,0.11702403417456364,0.030460671997672176,0.03430721848710165,0.008375449872028663,0.17187189091997174,0.044109756681789056
3,26.0,17.435595774162696,42.0,11.0,123.33333333333333,21.548395145191982,143.33333333333334,25.106440076867397,0.9966329966329966,0.005831820900905284,0.10441426146010187,0.018771939208400663,0.9836065573770492,0.028394275533916054,0.04639964981396367,0.009111910522287638,0.34502209816236334,0.05376551426484439,0.9966329966329966,0.005831820900905284,0.10441426146010187,0.018771939208400663,0.9836065573770492,0.028394275533916054,0.04639964981396367,0.009111910522287641,0.14538483414849424,0.029325131007847585,0.04778987253449737,0.009785537589929956,0.21462085224856203,0.04089920096603035
4,25.333333333333332,3.7859388972001824,23.666666666666668,16.502525059315417,148.66666666666666,25.32455988429677,167.0,41.60528812542944,0.9972222222222222,0.004811252243246865,0.12591963780418788,0.021978604673606555,0.9848484848484849,0.026243194054073875,0.0541694024950755,0.014508456857507781,0.3846243312398232,0.03482999288062189,0.9972222222222222,0.004811252243246865,0.12591963780418788,0.021978604673606555,0.9848484848484849,0.026243194054073875,0.05416940249507551,0.01450845685750778,0.17339508019785013,0.028147649044452897,0.05605158200252172,0.01565536662785226,0.24945486526074861,0.03139864365281378
5,19.666666666666668,20.744477176668813,25.666666666666668,24.172987679087857,168.33333333333334,44.76978147515725,192.66666666666666,64.84083075758154,0.9972451790633609,0.00477148982801342,0.1426146010186757,0.03845416520511415,0.9848484848484849,0.026243194054073875,0.06259575399430947,0.02221869991577996,0.40910676901605025,0.05642237414387001,0.9972451790633609,0.00477148982801342,0.14261460101867574,0.03845416520511417,0.9848484848484849,0.026243194054073875,0.06259575399430947,0.02221869991577996,0.1953540742759574,0.05004168038436532,0.06440063702737372,0.022737766328890126,0.2748533948589715,0.05629226112387895
6,15.666666666666666,10.692676621563626,20.666666666666668,22.744962812309307,184.0,47.62352359916263,213.33333333333334,72.14106551287784,0.9974358974358974,0.004441155916843323,0.15591397849462368,0.04090882328210512,0.9836316254226701,0.024696863043305654,0.06927117531188444,0.024727288322587727,0.4200976971388695,0.05511667645581128,0.9974358974358974,0.00444115591684326,0.15591397849462366,0.04090882328210511,0.9836316254226702,0.02469686304330559,0.06927117531188444,0.02472728832258772,0.20675793905891518,0.05116254465601622,0.07148071423331705,0.025232158359405454,0.2858458717994835,0.056764105144065956
7,20.0,17.349351572897472,36.0,26.210684844162312,204.0,61.0,249.33333333333334,96.44342037346733,0.9947549219562595,0.0017405467315601132,0.17232597623089985,0.051782682512733456,0.9775121275121275,0.020630975149428788,0.0804333552199606,0.03258113202603571,0.44225401256106067,0.06929192581914392,0.9947549219562595,0.0017405467315601308,0.17232597623089982,0.05178268251273345,0.9775121275121275,0.02063097514942874,0.0804333552199606,0.03258113202603571,0.22606185746181118,0.06567889817906188,0.08293188460782035,0.033103996412948575,0.3071625936299319,0.07226159343454856
8,12.0,11.357816691600547,31.0,10.0,216.0,71.08445681019164,280.3333333333333,101.00165015153631,0.9949842555105713,0.001789092777759121,0.18251273344651953,0.060343341944135515,0.9414169930482382,0.08086022594425364,0.08831254103742614,0.03761715314354154,0.4513840428006513,0.08001617885407977,0.9949842555105713,0.001789092777759121,0.18251273344651953,0.060343341944135515,0.9414169930482382,0.08086022594425361,0.08831254103742614,0.03761715314354154,0.23750546814748472,0.07832665951384628,0.09079288298025259,0.03782508707449886,0.31872519695737256,0.08596624793347235
9,3.3333333333333335,2.516611478423583,3.6666666666666665,3.5118845842842465,219.33333333333334,72.23111056416988,284.0,99.06058752097123,0.9950528515240905,0.001794083158431083,0.1853423882286361,0.061316732227648454,0.9427178202792956,0.07910549138267657,0.0895163055373167,0.037009600729012604,0.4538264712723889,0.08081176795749288,0.9950528515240905,0.0017940831584310375,0.1853423882286361,0.061316732227648454,0.9427178202792956,0.07910549138267657,0.08951630553731671,0.0370096007290126,0.24013536318867726,0.07924733274883193,0.09200976886544462,0.03719678849549727,0.32134021641877425,0.0867050001327019
10,13.666666666666666,10.969655114602888,13.666666666666666,12.583057392117917,233.0,82.27393268830657,297.6666666666667,111.51830940851522,0.9695186273403262,0.04404874453635554,0.1915676287492926,0.06918549341752145,0.9435735735735735,0.0783991032625077,0.0940030641278179,0.04108117606630765,0.45958362409862763,0.08836772046579122,0.9695186273403262,0.04404874453635554,0.1915676287492926,0.06918549341752145,0.9435735735735736,0.07839910326250764,0.0940030641278179,0.04108117606630765,0.24690648505010868,0.08841018060990066,0.09657956427335748,0.04124760250635743,0.3282547484392752,0.09589705344475721
