turn,mode,novelty,nodes_added_to_graph,edges_added_to_graph,total_nodes_in_graph,total_edges_in_graph,native_node_precision,native_node_recall,native_edge_precision,native_edge_recall,native_degree_weighted_node_coverage,evaluation_node_precision,evaluation_node_recall,evaluation_edge_pair_precision,evaluation_edge_pair_recall,evaluation_node_tsc_rank,evaluation_edge_tsc_rank,evaluation_node_autc_rank
1,seed,0.0,62.0,63.0,62.0,63.0,1.0,0.05263157894736842,1.0,0.02068286277084701,0.217725052337753,1.0,0.05263157894736842,1.0,0.02068286277084701,0.07789925376450453,0.02124389433191939,0.12092311620260184
2,explore,0.9411764705882353,60.0,66.0,122.0,129.0,1.0,0.10356536502546691,1.0,0.04235062376887722,0.34891835310537334,1.0,0.1035653650254669,1.0,0.042350623768877216,0.1521554622720036,0.04387900956548302,0.22273453809076077
3,explore,0.7228915662650602,18.0,42.0,140.0,171.0,1.0,0.11884550084889643,1.0,0.05613919894944189,0.40631542219120725,1.0,0.11884550084889643,1.0,0.056139198949441894,0.17447957554338264,0.058603120205087504,0.25875287755109244
4,explore,0.6237623762376238,28.0,42.0,168.0,213.0,1.0,0.14261460101867574,1.0,0.06992777413000656,0.42445917655268667,1.0,0.14261460101867574,1.0,0.06992777413000656,0.1992247327149752,0.07341208372109768,0.2817536405125226
5,explore,0.8157894736842105,42.0,48.0,210.0,261.0,1.0,0.1782682512733446,1.0,0.08568614576493762,0.4708653175157014,1.0,0.17826825127334464,1.0,0.08568614576493762,0.24400923092418755,0.08827827714475554,0.3320454120558921
6,exploit,0.16260162601626016,10.0,14.0,220.0,275.0,1.0,0.18675721561969444,1.0,0.09028233749179253,0.47348220516399164,1.0,0.1867572156196944,1.0,0.09028233749179251,0.24856470386093085,0.09301111420067817,0.3346940117189638
7,exploit,0.8425925925925926,40.0,65.0,260.0,340.0,0.9961538461538462,0.21986417657045842,1.0,0.11162179908076166,0.5069783670621074,0.9961538461538462,0.2198641765704584,1.0,0.11162179908076166,0.2889218541241425,0.11448865916888723,0.37548718847870394
8,exploit,0.8571428571428571,25.0,41.0,285.0,381.0,0.9964912280701754,0.24108658743633277,1.0,0.12508207485226527,0.5301814375436148,0.9964912280701754,0.24108658743633277,1.0,0.12508207485226527,0.31617618741501424,0.1275616488195833,0.4044952545555499
9,explore,0.12000000000000004,3.0,0.0,288.0,381.0,0.9965277777777779,0.2436332767402377,1.0,0.12508207485226527,0.5319260293091417,0.9965277777777778,0.2436332767402377,1.0,0.12508207485226527,0.31863944590755333,0.1275616488195833,0.4063756175421054
10,exploit,0.82,20.0,27.0,308.0,408.0,0.9967532467532467,0.2606112054329372,1.0,0.133946158896914,0.5474528960223308,0.9967532467532467,0.2606112054329372,1.0,0.133946158896914,0.33711832824289406,0.1364313688264569,0.4248915976269983
11,explore,0.723404255319149,15.0,19.0,323.0,427.0,0.9969040247678018,0.2733446519524618,1.0,0.14018384766907419,0.5614096301465457,0.9969040247678018,0.2733446519524618,1.0,0.14018384766907419,0.35126021667194823,0.14311292239105602,0.43878961226453
12,exploit,0.8431372549019608,16.0,29.0,339.0,456.0,0.9970501474926253,0.2869269949066214,1.0,0.14970453053184504,0.5711793440334961,0.9970501474926253,0.2869269949066214,1.0,0.14970453053184504,0.3668788752255133,0.15240156532191093,0.4517260159317069
13,explore,0.6,12.0,4.0,351.0,460.0,0.9971509971509973,0.29711375212224106,1.0,0.1510177281680893,0.5792044661549197,0.9971509971509972,0.29711375212224106,1.0,0.1510177281680893,0.3753736361724236,0.1537698942604961,0.4602891406303222
14,exploit,0.0,0.0,0.0,351.0,460.0,0.9971509971509973,0.29711375212224106,1.0,0.1510177281680893,0.5792044661549197,0.9971509971509972,0.29711375212224106,1.0,0.1510177281680893,0.3753736361724236,0.1537698942604961,0.4602891406303222
15,explore,0.5,10.0,36.0,361.0,496.0,0.997229916897507,0.30560271646859083,1.0,0.16283650689428758,0.5847871598046057,0.997229916897507,0.30560271646859083,1.0,0.16283650689428758,0.3843031333595985,0.16536681013314228,0.46788689637154046
16,exploit,0.25396825396825395,4.0,12.0,365.0,508.0,0.9972602739726029,0.3089983022071307,1.0,0.16677609980302038,0.5860083740404746,0.9972602739726028,0.3089983022071307,1.0,0.16677609980302036,0.386114657795182,0.16935245351481631,0.46922454305517985
17,exploit,0.7627118644067796,29.0,16.0,394.0,524.0,0.9467005076142132,0.3166383701188455,1.0,0.17202889034799734,0.5922889043963713,0.9467005076142132,0.3166383701188455,1.0,0.17202889034799737,0.3938451124389353,0.17495365903611362,0.4772647911020047
18,exploit,0.15909090909090906,4.0,3.0,398.0,527.0,0.9472361809045227,0.3200339558573855,1.0,0.17301378857518057,0.5933356594556873,0.9472361809045227,0.3200339558573854,1.0,0.17301378857518057,0.3957366224178724,0.17592626223995064,0.4784649402953375
19,explore,0.3611111111111111,3.0,11.0,401.0,538.0,0.9476309226932669,0.3225806451612903,1.0,0.17662508207485225,0.5949057920446615,0.9476309226932669,0.3225806451612903,1.0,0.17662508207485225,0.3978103216900039,0.17969519503799866,0.4806018858364808
20,explore,0.14159292035398233,1.0,21.0,402.0,559.0,0.9477611940298507,0.3234295415959253,0.9892665474060823,0.18154957321076823,0.5964759246336357,0.9477611940298507,0.3234295415959253,0.9892665474060823,0.18154957321076823,0.3992411741877747,0.18473112168482356,0.48212254308772656
21,exploit,0.5192307692307693,5.0,22.0,407.0,581.0,0.9459459459459459,0.32682512733446517,0.9896729776247849,0.18877216021011162,0.5971737613398465,0.9459459459459459,0.32682512733446517,0.9896729776247849,0.18877216021011162,0.4002424746934611,0.19249821213768464,0.48294596562828507
22,exploit,0.03846153846153845,2.0,0.0,409.0,581.0,0.9462102689486552,0.32852292020373514,0.9896729776247849,0.18877216021011162,0.5978715980460573,0.9462102689486552,0.32852292020373514,0.9896729776247849,0.18877216021011162,0.40151779974582197,0.19249821213768464,0.4838452660343142
23,exploit,0.3269230769230769,5.0,12.0,414.0,593.0,0.9468599033816425,0.33276740237691,0.9898819561551433,0.19271175311884436,0.6015352407536636,0.9468599033816425,0.33276740237691,0.9898819561551433,0.1927117531188444,0.40677833043508993,0.1966453201654688,0.48871065466569924
24,exploit,0.5915492957746479,17.0,37.0,431.0,630.0,0.9489559164733179,0.3471986417657046,0.9904761904761905,0.2048588312541037,0.6090369853454292,0.9489559164733179,0.3471986417657046,0.9904761904761905,0.20485883125410373,0.4167550457546913,0.20928305729186816,0.49832399033111385
25,exploit,0.1029411764705882,1.0,7.0,432.0,637.0,0.9490740740740741,0.34804753820033957,0.9905808477237049,0.2071569271175312,0.610258199581298,0.9490740740740741,0.34804753820033957,0.9905808477237049,0.2071569271175312,0.4181384994119563,0.21158614138869944,0.4997165716078714
26,exploit,0.07777777777777779,2.0,6.0,434.0,643.0,0.9493087557603687,0.34974533106960953,0.9906687402799378,0.20912672357189754,0.6128750872295883,0.9493087557603687,0.34974533106960953,0.9906687402799378,0.20912672357189757,0.42100983229697553,0.21359941323320256,0.5030536988725481
27,exploit,0.3406593406593406,11.0,20.0,445.0,663.0,0.9505617977528089,0.3590831918505943,0.9909502262443439,0.21569271175311885,0.6179344033496161,0.950561797752809,0.35908319185059423,0.9909502262443439,0.21569271175311885,0.4302844522915838,0.21978131155076533,0.5108683298658492
28,exploit,0.8247422680412371,37.0,66.0,482.0,729.0,0.9522821576763485,0.3896434634974533,0.9917695473251029,0.23736047275114905,0.6367759944173064,0.9522821576763485,0.3896434634974533,0.9917695473251029,0.23736047275114905,0.45847195025491505,0.24254401132511166,0.5362148796148138
29,explore,0.02941176470588238,1.0,0.0,483.0,729.0,0.9523809523809522,0.3904923599320883,0.9917695473251029,0.23736047275114905,0.6371249127704117,0.9523809523809523,0.3904923599320883,0.9917695473251029,0.23736047275114905,0.4594591792298262,0.24254401132511166,0.536988942139352
30,exploit,0.45,5.0,13.0,488.0,742.0,0.9528688524590164,0.39473684210526316,0.9919137466307277,0.24162836506894286,0.6409630146545708,0.9528688524590164,0.39473684210526316,0.9919137466307277,0.24162836506894286,0.4624941862359674,0.24712133564531946,0.5406043072269744
31,exploit,0.15384615384615383,0.0,8.0,488.0,750.0,0.9528688524590164,0.39473684210526316,0.992,0.24425476034143143,0.6409630146545708,0.9528688524590164,0.39473684210526316,0.992,0.2442547603414314,0.4624941862359674,0.2495961094650939,0.5406043072269744
