turn,evaluation_node_recall,evaluation_node_recall_std,evaluation_edge_pair_recall,evaluation_edge_pair_recall_std,evaluation_node_tsc_rank,evaluation_node_tsc_rank_std,evaluation_node_tsc_raw,evaluation_node_tsc_raw_std,evaluation_edge_tsc_rank,evaluation_edge_tsc_rank_std,evaluation_edge_tsc_raw,evaluation_edge_tsc_raw_std,evaluation_node_autc_rank,evaluation_node_autc_rank_std
1,0.04074702886247878,0.0,0.010833880499015102,0.0,0.061199309161899446,4.8074067159589095e-17,0.12239262576549606,1.2515682248423183e-16,0.010820878324943143,2.119867103594834e-17,0.008239084518520479,7.56148432677051e-18,0.09319814935395038,0.0
2,0.05404640633842671,0.011079101273600392,0.015211205953162618,0.00394414998707378,0.07959302170570628,0.014941864341499774,0.15091816325877902,0.02309182215321824,0.015162873264903624,0.003850641606063964,0.011925710363273966,0.003884930370925913,0.11768665396677494,0.019525082201174288
3,0.077815506508206,0.006371437605658007,0.02396585686145765,0.003980418796120203,0.10856803165452535,0.011699894332716594,0.19679140781024335,0.017301229231211843,0.02347652205355757,0.003407674985354367,0.020980357409919707,0.003887244585517304,0.15504450475609305,0.014988342370517946
4,0.1007357102433503,0.01659876556430387,0.03786386517837601,0.0049281375571012045,0.13954860504224872,0.025024599544352828,0.24322115496845792,0.023267828161498697,0.03742164462577584,0.005739282409522407,0.03166078031348711,0.004205307034865801,0.1960117220836124,0.031045662139180717
5,0.11629881154499151,0.0165697973649772,0.04366382140512147,0.0051596302184838206,0.1559760063119451,0.02056901230835239,0.266216651691873,0.015063202876383843,0.04331016971897917,0.0059919638561845255,0.03679109819533168,0.0025989554541720936,0.21687157291260145,0.02366074855164952
6,0.13893604980192417,0.016203325752371718,0.05679579776756402,0.0055810899540380855,0.1858239449067472,0.017083995184353953,0.3090108887113575,0.008841125369990642,0.05677527326136289,0.006006353304140431,0.04909487640457614,0.002086623141607744,0.2548292915752108,0.017019962425640096
7,0.1522354272778721,0.009156021328445632,0.06500328299409061,0.007244936471015731,0.20237947116718596,0.0061435626255150035,0.3282637917482914,0.005722651570035371,0.06528090931353901,0.00810722029007858,0.05950395970426437,0.011720239204632641,0.27402630096405256,0.008845748897468763
8,0.17826825127334464,0.021222410865874355,0.07747866053841103,0.007967604136251867,0.23406658352119983,0.017978395777992463,0.371416720445173,0.014599234177899892,0.07840736441573534,0.007733455461152659,0.07723239050745791,0.011060546165944131,0.31346443139417174,0.015397148711856405
9,0.19524617996604415,0.02892483028421191,0.08732764281024294,0.011291781695285512,0.2569209713207382,0.02706922798214606,0.39801640988836307,0.02708542340042588,0.08844564283023185,0.010482005334732718,0.08998300041345007,0.018490675907391303,0.3410957853919119,0.023019738870796176
10,0.20345217883418223,0.031124916369987644,0.09433136353687897,0.013268062653734007,0.26456181253166,0.03057754018158721,0.40605183403793815,0.03133496019867639,0.09560121264324113,0.013004731068481082,0.10210750929579869,0.027691135577665133,0.348783613363104,0.026950168282245043
11,0.20656479909451048,0.02887911900888076,0.09487852921864741,0.012820501766097591,0.2677054418806271,0.02890433092811048,0.4084176517218565,0.0313454442282421,0.09604724982569017,0.012635841134222198,0.1022536157929798,0.027783758285464845,0.3516832093743347,0.026008448593931824
12,0.21420486700622524,0.025948104069025466,0.09958415408185599,0.009573366885550962,0.2775221861135212,0.02547988219193829,0.41997072073079034,0.02728212659138611,0.10083757114440563,0.009397527473340649,0.1090151382149033,0.020078733136894074,0.3629539713199425,0.02233370235532252
13,0.22552348613469156,0.030658366113824238,0.10516524403589407,0.013075771602084844,0.29047910352992884,0.03283968530486636,0.4312027628224979,0.03430230965956037,0.10669470881270347,0.013013305495691907,0.1158609187196561,0.026553277524893497,0.37592778419588735,0.03061736231180258
14,0.23910582908885117,0.030303740001313483,0.1120595316261764,0.012656925092253031,0.30440325353540937,0.03331332163834276,0.44368649386832854,0.03525702631740675,0.11379208216851361,0.012806751287383943,0.12572817159684202,0.026923157932969958,0.389544885122819,0.032597819735662316
15,0.24589700056593095,0.023895090134177514,0.11731232217115342,0.0128931555835775,0.31097243658676893,0.028568457446293428,0.4568985803651961,0.02179155468622378,0.11913404892592397,0.013353157312988882,0.13197142539134343,0.027474420744337754,0.3987541644298814,0.026056492692793243
16,0.25325410299943407,0.025029252277867547,0.12190851389800832,0.011018020333733312,0.3192163786693356,0.03136488190300725,0.4642597179276065,0.023179126846212712,0.12394960227503343,0.011462103726620253,0.13810044221750475,0.02842812804475202,0.40660061671794145,0.028168413490318237
17,0.26768534238822866,0.025414963089113663,0.13252352812431606,0.012905688761484409,0.33542776959818493,0.036611233642899546,0.4810984566122406,0.028460151689263666,0.13495829643911905,0.013410866775510519,0.14878774870706632,0.029949239919368018,0.42448162608759005,0.03543642364006098
18,0.2860780984719864,0.03050126353687893,0.14193477785073322,0.016585890627641237,0.35652741282316247,0.044886674678737665,0.4978902841154024,0.036701949160550126,0.14438927650917244,0.01699274426377656,0.15745234567593794,0.032891046827792036,0.4442254699553945,0.04477143548869709
19,0.29485002829654783,0.034065330039946655,0.1498139636681987,0.01809026066354937,0.36760220128114984,0.048161240341377635,0.5076714747723619,0.03867733532038888,0.152580987441265,0.018658819565288365,0.16574859959496238,0.036061531626427897,0.45562824097670174,0.04692011912203468
20,0.30475382003395585,0.03846353398712798,0.15637995184942,0.021762891640987637,0.3784108649992135,0.05479526108016087,0.516685792882696,0.04356806009999054,0.15904898442603735,0.022388737039054543,0.1706438264820176,0.03844362458892224,0.46611220880673926,0.053170963835749506
21,0.31437464629315226,0.04090001463532461,0.16217990807616547,0.02626395272488509,0.38749490215595456,0.05811321510549549,0.5247676342680183,0.045888997542050156,0.1650757261050885,0.02722327700165598,0.1769506368021137,0.04113757884642408,0.4746413977000972,0.05596950180449243
22,0.3273910582908885,0.04239669031050762,0.1708251258481068,0.026087583567625982,0.40104035517531,0.05739712975325755,0.5354729589682619,0.04543590036117618,0.17382762880875138,0.02726421954677714,0.18573448741233795,0.04227037280638644,0.4869441601614949,0.05493853751453923
23,0.3350311262026033,0.04286997035294412,0.17684394834755965,0.026124740485480167,0.41099855532283885,0.05757958940225315,0.5453507253982766,0.04315922970166259,0.18002906160145796,0.027305235092872127,0.19063401867591337,0.04377346788510584,0.49809523574604797,0.05354564498679893
24,0.3457838143746463,0.037450991487459714,0.1836288028014883,0.025834333650301668,0.42415296790802093,0.050757328718396895,0.5600940669764003,0.03698841258959831,0.18717761121246243,0.027004856068606885,0.20268652635351955,0.04805915196347283,0.5133892363998951,0.04650434547102592
25,0.3548387096774194,0.04725692923503151,0.19063252352812432,0.03014341650524005,0.4338378841157582,0.059271083815690816,0.5674260769396752,0.0430232019878596,0.19450186935770272,0.0314758028707902,0.21031445019423467,0.05175750428867816,0.5218681230743151,0.053146738124136755
26,0.3607809847198642,0.053061120298835016,0.19468154957321077,0.031400255288820324,0.43803761887974657,0.06366680719618109,0.5712349683222785,0.04688217772282252,0.19861118021092478,0.03263220706327666,0.21334602628379118,0.051036125009382205,0.5258823063140929,0.057253940715912444
27,0.3746462931522354,0.04244765129221529,0.20310790107244475,0.02588018481771111,0.4529487509911772,0.053658159319740724,0.5824634648210956,0.03946178285339844,0.2067031330551088,0.027135814679927213,0.21858978075268284,0.04808457701459838,0.5396933370635337,0.04844310519565416
