turn,mode,anchor,batch_htsn_combined,batch_new_nodes,batch_new_edges,raw_batch_reward,effective_fewa_reward,evaluation_node_precision,evaluation_node_recall,evaluation_edge_pair_precision,evaluation_edge_pair_recall,evaluation_node_tsc_rank,evaluation_edge_tsc_rank
32,exploit,LDH TEST,0.05885188294928009,8,4,0.009310551794710327,0.009310551794710327,0.9117082533589251,0.4032258064516129,1.0,0.21306631648063035,0.4842902467998358,0.2151086040511442
33,exploit,GENETIC TESTS,0.3041125,9,37,0.05939697265625,0.05939697265625,0.9113207547169812,0.4100169779286927,1.0,0.22521339461588968,0.49501571567805325,0.22764317473069065
34,explore,,0.0,2,0,0.0,,0.9097744360902256,0.41086587436332767,1.0,0.22521339461588968,0.49526604080447484,0.22764317473069065
35,explore,,0.0,0,0,0.0,,0.9097744360902256,0.41086587436332767,1.0,0.22521339461588968,0.49526604080447484,0.22764317473069065
36,exploit,B SYMPTOMS,0.3174962292609351,3,5,0.00806142769607843,0.00806142769607843,0.9102803738317757,0.4134125636672326,1.0,0.22685489166119502,0.4974908238807189,0.2292274511874666
37,exploit,MOHS SURGEON,0.3347445255474452,6,10,0.01634494753649635,0.01634494753649635,0.911275415896488,0.41850594227504245,1.0,0.23013788575180566,0.5033571710002025,0.2323282438903633
38,exploit,HEPATITIS,0.2510957303042478,15,38,0.0642451966208134,0.0642451966208134,0.908273381294964,0.42869269949066213,1.0,0.24261326329612606,0.5145158949049188,0.2450300785133281
39,exploit,DERMATOLOGIST,0.31825654675695786,10,43,0.07334818851039263,0.07334818851039263,0.9098939929328622,0.4371816638370119,1.0,0.25673013788575183,0.5229484448736651,0.2596527014500374
40,exploit,LYNCH SYNDROME,0.25524064171122984,18,32,0.042373934659090895,0.042373934659090895,0.910958904109589,0.45161290322580644,1.0,0.26723571897570586,0.5404423200547435,0.2699914750329563
41,exploit,MEDICAL HISTORY,0.15889866932572297,2,23,0.03941431836790394,0.03941431836790394,0.9112627986348123,0.4533106960950764,1.0,0.2747866053841103,0.5409429703075866,0.2778811137947269
42,exploit,CLINICAL STAGING,0.3115208483972041,0,3,0.005475952413232104,0.005475952413232104,0.9112627986348123,0.4533106960950764,1.0,0.2757715036112935,0.5409429703075866,0.27891064168003754
43,exploit,TOMOSYNTHESIS,0.0,0,0,0.0,0.0,0.9112627986348123,0.4533106960950764,1.0,0.2757715036112935,0.5409429703075866,0.27891064168003754
44,exploit,PELVIC MAGNETIC RESONANCE IMAGING,0.18289045553145336,0,3,0.0028576633676789588,0.0,0.9112627986348123,0.4533106960950764,1.0,0.2767564018384767,0.5409429703075866,0.2799052211684113
45,exploit,CANCER CENTER,0.2816485316485316,2,13,0.020353507169913417,0.020353507169913417,0.9115646258503401,0.45500848896434637,0.9906542056074766,0.278397898883782,0.5423338300336806,0.28165523543773496
46,exploit,STAGE 3 RECTAL CANCER,0.2940954536879834,7,20,0.032741095430107524,0.032741095430107524,0.9126050420168067,0.4609507640067912,0.9897260273972602,0.2846355876559422,0.5452103471668803,0.28780020138822904
47,exploit,DUCTAL CARCINOMA IN SITU,0.02546786723163842,0,1,0.0011938062764830508,0.0011938062764830508,0.9126050420168067,0.4609507640067912,0.9897377423033067,0.2849638870650033,0.5452103471668803,0.28804789242852835
48,exploit,HOSPITAL,0.0,0,0,0.0,0.0,0.9126050420168067,0.4609507640067912,0.9897377423033067,0.2849638870650033,0.5452103471668803,0.28804789242852835
49,exploit,RECONSTRUCTIVE SURGERY,0.13109110169491528,9,6,0.008193193855932205,0.008193193855932205,0.9139072847682119,0.4685908319185059,0.9898074745186863,0.28693368351936965,0.5518039702453758,0.2897444921173808
50,exploit,BIOPSY,0.3992400419287213,10,27,0.049905005241090164,0.049905005241090164,0.9153094462540716,0.4770797962648557,0.9901098901098901,0.2957977675640184,0.559642553494033,0.29900505424021645
